en-US,POS,Stage,Tag
fog,noun,Stage 2,Swadesh
sky,noun,Stage 2,Swadesh
wind,noun,Stage 2,Swadesh
snow,noun,Stage 2,Swadesh
ice,noun,Stage 2,Swadesh
smoke,noun,Stage 2,Swadesh
fire,noun,Stage 2,Swadesh
ash,noun,Stage 2,Swadesh
burn,verb,Stage 2,Swadesh
road,noun,Stage 2,Swadesh
mountain,noun,Stage 2,Swadesh
red,adj,Stage 2,Swadesh
green,adj,Stage 2,Swadesh
yellow,adj,Stage 2,Swadesh
white,adj,Stage 2,Swadesh
black,adj,Stage 2,Swadesh
night,noun,Stage 2,Swadesh
day,noun,Stage 2,Swadesh
year,noun,Stage 2,Swadesh
warm,adj,Stage 2,Swadesh
cold,adj,Stage 2,Swadesh
full,adj,Stage 2,Swadesh
new,adj,Stage 2,Swadesh
old,adj,Stage 2,Swadesh
bad,adj,Stage 2,Swadesh
rotten,adj,Stage 2,Swadesh
dirty,adj,Stage 2,Swadesh
straight,adj,Stage 2,Swadesh
round,adj,Stage 2,Swadesh
sharp,adj,Stage 2,Swadesh
dull,adj,Stage 2,Swadesh
smooth,adj,Stage 2,Swadesh
wet,adj,Stage 2,Swadesh
dry,adj,Stage 2,Swadesh
correct,adj,Stage 2,Swadesh
near,adj,Stage 2,Swadesh
far,adj,Stage 2,Swadesh
right,other,Stage 2,Swadesh
left,other,Stage 2,Swadesh
at,other,Stage 2,Swadesh
in,other,Stage 2,Swadesh
with,other,Stage 2,Swadesh
and,other,Stage 2,Swadesh
if,other,Stage 2,Swadesh
because,other,Stage 2,Swadesh
name,noun,Stage 2,Swadesh
